0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('arkadaşlar', 170)","('ahbap', 149)","('babalatv', 148)","('ne', 145)","('afadbaskanlik', 143)","('mahallesi', 129)","('da', 122)","('allah', 116)","('acil', 115)","('ama', 114)","('yayalım', 105)","('aci̇l', 103)","('de', 103)","('olan', 99)","('kadar', 97)","('hala', 96)","('sokak', 93)","('yayalim', 93)","('daha', 91)","('s', 90)","('insanlar', 83)","('en', 81)","('depremdairesi', 73)","('kahramanmaraş', 73)","('nasıl', 72)"
"('ahbap', 321)","('babalatv', 303)","('daha', 270)","('fazla', 232)","('çocuk', 227)","('gönderin', 207)","('konuşmuş', 206)","('yaşıyor', 190)","('mahallesi', 189)","('abisiyle', 183)","('abisi', 181)","('demiş', 181)","('dayanamaz', 180)","('arkadaşlar', 157)","('sokak', 141)","('antakya', 131)","('ne', 129)","('taha', 125)","('da', 100)","('aci̇l', 99)","('akevler', 99)","('432', 93)","('olan', 92)","('ortaokulu', 90)","('sabuncu', 89)"
"('ahbap', 100)","('mahallesi', 89)","('afadbaskanlik', 88)","('ne', 77)","('babalatv', 75)","('arkadaşlar', 74)","('da', 74)","('aci̇l', 69)","('de', 69)","('allah', 68)","('s', 68)","('acil', 66)","('kadar', 64)","('daha', 64)","('olan', 60)","('depremdairesi', 57)","('sokak', 57)","('saat', 56)","('antakya', 56)","('yayalım', 55)","('ama', 54)","('nolur', 53)","('bekir', 52)","('edin', 51)","('sonra', 49)"
"('arkadaşlar', 57)","('aci̇l', 45)","('ne', 40)","('daha', 39)","('afadbaskanlik', 38)","('s', 34)","('rt', 32)","('mahallesi', 32)","('allah', 31)","('bin', 29)","('yayalim', 28)","('kadar', 28)","('de', 28)","('yayalım', 28)","('acil', 27)","('saat', 26)","('hala', 26)","('ki', 26)","('da', 25)","('sen', 25)","('ahbap', 25)","('ama', 24)","('ile', 24)","('değil', 23)","('yapalim', 23)"
"('kadar', 25)","('s', 24)","('ne', 21)","('allah', 19)","('insanlar', 18)","('mahallesi', 17)","('bile', 17)","('antakya', 16)","('da', 16)","('ama', 15)","('arkadaşlar', 15)","('ya', 15)","('saat', 14)","('sen', 13)","('de', 13)","('olan', 12)","('hala', 12)","('daha', 12)","('yayalim', 11)","('bebek', 11)","('afadbaskanlik', 10)","('edin', 10)","('nolur', 10)","('rterdogan', 10)","('haber', 10)"
"('da', 39)","('ne', 35)","('ama', 31)","('allah', 29)","('de', 27)","('daha', 24)","('ile', 23)","('mi', 22)","('arkadaşlar', 22)","('hala', 21)","('bin', 21)","('kişi', 21)","('rt', 21)","('insanlar', 20)","('diye', 20)","('devlet', 20)","('acil', 20)","('ahbap', 20)","('ki', 19)","('adıyaman', 19)","('olarak', 19)","('değil', 18)","('afadbaskanlik', 18)","('sayısı', 18)","('edin', 18)"
"('de', 61)","('allah', 58)","('da', 54)","('ne', 51)","('kadar', 48)","('sonra', 46)","('devlet', 46)","('s', 45)","('ile', 42)","('ama', 42)","('olan', 41)","('saat', 39)","('ahmet', 38)","('değil', 38)","('arkadaşlar', 38)","('dayanışma', 37)","('vakti', 37)","('hakan', 36)","('daha', 34)","('acil', 34)","('insanlar', 33)","('en', 33)","('devam', 32)","('gibi', 32)","('hala', 32)"
"('de', 107)","('arkadaşlar', 98)","('da', 97)","('allah', 96)","('acil', 94)","('afadbaskanlik', 89)","('aci̇l', 88)","('ahbap', 87)","('ne', 83)","('mahallesi', 82)","('daha', 82)","('olan', 81)","('en', 79)","('kadar', 77)","('s', 75)","('babalatv', 74)","('ama', 73)","('hala', 73)","('yayalım', 65)","('ile', 64)","('yayalim', 63)","('haber', 62)","('4', 60)","('sonra', 52)","('antakya', 52)"
"('da', 131)","('ne', 122)","('ahbap', 118)","('afadbaskanlik', 117)","('babalatv', 112)","('arkadaşlar', 112)","('olan', 110)","('acil', 109)","('de', 102)","('daha', 93)","('ama', 89)","('allah', 88)","('mahallesi', 85)","('yayalım', 85)","('s', 82)","('aci̇l', 81)","('kadar', 78)","('yayalim', 69)","('ihtiyacı', 67)","('sonra', 67)","('hala', 66)","('en', 66)","('ile', 65)","('kahramanmaraş', 62)","('antakya', 58)"
"('ne', 90)","('ahbap', 85)","('afadbaskanlik', 76)","('babalatv', 68)","('de', 67)","('allah', 66)","('aci̇l', 65)","('arkadaşlar', 63)","('acil', 62)","('olan', 62)","('da', 57)","('mahallesi', 57)","('daha', 53)","('kadar', 52)","('en', 49)","('yayalım', 46)","('ile', 44)","('ihtiyacı', 42)","('s', 42)","('yayalim', 41)","('bebek', 41)","('varsa', 41)","('ama', 40)","('sonra', 40)","('kahramanmaraş', 40)"
"('kadar', 118)","('da', 109)","('arkadaşlar', 107)","('ne', 105)","('olan', 100)","('ahbap', 99)","('de', 88)","('acil', 86)","('allah', 76)","('yayalım', 76)","('ama', 75)","('afadbaskanlik', 73)","('babalatv', 71)","('mahallesi', 70)","('daha', 68)","('tüm', 67)","('aci̇l', 63)","('s', 59)","('varsa', 57)","('ile', 55)","('yayalim', 53)","('olarak', 53)","('kahramanmaraş', 51)","('edin', 51)","('gibi', 50)"
"('ahbap', 93)","('ne', 79)","('de', 74)","('arkadaşlar', 69)","('kadar', 65)","('babalatv', 64)","('acil', 59)","('da', 59)","('olan', 59)","('daha', 56)","('ama', 56)","('yayalım', 56)","('afadbaskanlik', 52)","('mahallesi', 51)","('allah', 51)","('mah', 51)","('s', 46)","('yayalim', 45)","('aci̇l', 43)","('varsa', 42)","('ile', 40)","('tüm', 39)","('edin', 39)","('gelen', 38)","('bile', 36)"
"('ahbap', 45)","('de', 36)","('da', 32)","('mahallesi', 31)","('ne', 29)","('babalatv', 28)","('s', 25)","('aci̇l', 24)","('olan', 23)","('acil', 22)","('bölgesine', 22)","('arkadaşlar', 21)","('enkazdan', 21)","('yayalim', 21)","('antakya', 21)","('olarak', 20)","('ile', 20)","('teyi̇tli̇', 20)","('son', 19)","('allah', 19)","('ki', 19)","('kahramanmaraş', 19)","('afadbaskanlik', 19)","('ihtiyacı', 18)","('insanlar', 18)"
"('ahbap', 31)","('kadar', 24)","('de', 21)","('sonra', 20)","('mahallesi', 19)","('da', 19)","('bölgesine', 19)","('acil', 18)","('ne', 18)","('aci̇l', 17)","('yayalım', 17)","('saat', 17)","('arkadaşlar', 17)","('haber', 16)","('ama', 16)","('daha', 15)","('olan', 15)","('1', 15)","('olarak', 14)","('teyi̇tli̇', 14)","('afadbaskanlik', 14)","('gün', 14)","('bebek', 13)","('nihat', 13)","('şu', 13)"
"('teyi̇tli̇', 24)","('ne', 17)","('90', 17)","('s', 17)","('acil', 17)","('yayalim', 15)","('aci̇l', 15)","('çadır', 15)","('gibi', 14)","('bi̇lgi̇', 14)","('ya', 14)","('arkadaşlar', 13)","('olan', 13)","('babalatv', 13)","('da', 13)","('mah', 13)","('km', 13)","('apt', 12)","('mi', 12)","('olarak', 11)","('insan', 11)","('bile', 11)","('antakya', 10)","('mahallesi', 10)","('allah', 10)"
"('ne', 19)","('allah', 18)","('s', 17)","('kadar', 17)","('aci̇l', 15)","('ki', 14)","('sen', 14)","('olan', 14)","('de', 13)","('hala', 12)","('gibi', 12)","('bunu', 12)","('daha', 12)","('da', 11)","('güzel', 11)","('ben', 10)","('şekilde', 10)","('arkadaşlar', 10)","('sonra', 9)","('kurtarma', 9)","('mi', 9)","('kamera', 9)","('ama', 9)","('destek', 8)","('varsa', 8)"
"('olur', 9)","('ne', 6)","('da', 6)","('allah', 5)","('türkiye', 5)","('akparti', 4)","('değil', 4)","('ayakkabı', 4)","('de', 4)","('altından', 4)","('aç', 4)","('en', 4)","('olarak', 4)","('dosta', 4)","('öbek', 4)","('1', 3)","('sonra', 3)","('kedi', 3)","('rterdogan', 3)","('sen', 3)","('ben', 3)","('tek', 3)","('atatürk', 3)","('şubat', 3)","('budur', 3)"
