0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('info', 62)","('ago', 60)","('team', 60)","('report', 59)","('please', 51)","('safety', 50)","('need', 49)","('use', 48)","('min', 47)","('u', 46)","('magnitude', 46)","('data', 44)","('life', 43)","('time', 42)","('ml', 42)","('disaster', 41)","('dpt', 41)","('emsc', 41)","('purpose', 41)","('powered', 41)","('turkish', 40)","('country', 38)","('one', 37)","('twitter', 37)","('local', 36)"
"('report', 67)","('team', 65)","('toll', 62)","('need', 53)","('use', 52)","('u', 50)","('disaster', 48)","('data', 48)","('purpose', 48)","('safety', 46)","('info', 45)","('ml', 45)","('230209', 45)","('dpt', 45)","('emsc', 45)","('powered', 45)","('turkish', 42)","('15000', 41)","('relief', 41)","('ago', 40)","('one', 39)","('time', 37)","('country', 37)","('affected', 37)","('strike', 36)"
"('toll', 87)","('team', 69)","('relief', 65)","('disaster', 60)","('one', 59)","('report', 58)","('safety', 57)","('use', 57)","('15000', 54)","('area', 54)","('data', 52)","('need', 51)","('ml', 50)","('powered', 50)","('day', 49)","('country', 49)","('info', 49)","('230209', 49)","('dpt', 49)","('emsc', 49)","('purpose', 49)","('india', 48)","('life', 47)","('time', 43)","('ago', 43)"
"('toll', 157)","('team', 118)","('disaster', 105)","('time', 92)","('country', 82)","('life', 80)","('need', 79)","('victim', 78)","('u', 76)","('please', 72)","('15000', 72)","('one', 70)","('day', 68)","('area', 68)","('report', 68)","('died', 67)","('affected', 65)","('building', 62)","('devastating', 61)","('hour', 61)","('turkish', 60)","('relief', 60)","('family', 59)","('still', 58)","('rescued', 57)"
"('team', 123)","('disaster', 100)","('area', 98)","('victim', 97)","('support', 93)","('toll', 92)","('affected', 83)","('please', 81)","('day', 79)","('need', 78)","('life', 76)","('devastating', 75)","('country', 75)","('report', 71)","('time', 65)","('region', 65)","('u', 64)","('hit', 63)","('ago', 60)","('info', 60)","('hour', 60)","('relief', 58)","('building', 55)","('humanitarian', 54)","('16000', 52)"
"('disaster', 116)","('team', 113)","('area', 108)","('affected', 103)","('toll', 102)","('support', 100)","('report', 95)","('u', 92)","('need', 88)","('please', 88)","('life', 88)","('time', 88)","('victim', 86)","('day', 81)","('turkish', 80)","('country', 79)","('one', 77)","('magnitude', 75)","('relief', 71)","('ago', 69)","('info', 68)","('died', 63)","('hour', 62)","('devastating', 62)","('min', 58)"
"('team', 145)","('u', 112)","('support', 110)","('please', 108)","('need', 108)","('affected', 99)","('victim', 95)","('disaster', 94)","('area', 91)","('relief', 91)","('time', 89)","('toll', 85)","('turkish', 83)","('country', 82)","('hour', 76)","('one', 74)","('life', 74)","('donate', 66)","('world', 64)","('child', 64)","('devastating', 63)","('syrian', 59)","('hit', 58)","('effort', 58)","('day', 57)"
"('disaster', 146)","('team', 128)","('report', 128)","('toll', 121)","('area', 113)","('need', 106)","('support', 106)","('relief', 101)","('victim', 100)","('please', 100)","('u', 98)","('country', 97)","('life', 93)","('affected', 91)","('one', 80)","('devastating', 79)","('time', 78)","('turkish', 77)","('donate', 77)","('syrian', 76)","('day', 74)","('humanitarian', 72)","('effort', 69)","('hit', 68)","('hour', 66)"
"('team', 139)","('disaster', 108)","('support', 101)","('need', 100)","('victim', 98)","('report', 94)","('country', 93)","('relief', 92)","('toll', 91)","('please', 90)","('u', 88)","('devastating', 84)","('life', 78)","('family', 78)","('one', 77)","('affected', 75)","('area', 72)","('turkish', 72)","('time', 70)","('hour', 66)","('donate', 65)","('day', 64)","('ago', 61)","('rescued', 61)","('humanitarian', 60)"
"('need', 110)","('toll', 101)","('team', 98)","('20000', 84)","('please', 81)","('victim', 80)","('country', 77)","('affected', 73)","('disaster', 73)","('u', 69)","('life', 69)","('devastating', 69)","('one', 69)","('support', 64)","('area', 64)","('report', 63)","('hour', 63)","('ago', 63)","('info', 59)","('relief', 58)","('data', 58)","('safety', 58)","('humanitarian', 56)","('turkish', 54)","('donate', 54)"
"('please', 84)","('team', 84)","('need', 75)","('toll', 66)","('report', 60)","('support', 60)","('info', 56)","('victim', 54)","('affected', 53)","('effort', 52)","('ago', 52)","('relief', 51)","('hour', 49)","('20000', 49)","('use', 49)","('safety', 49)","('life', 48)","('syrian', 47)","('still', 47)","('devastating', 46)","('strike', 46)","('country', 44)","('u', 44)","('day', 43)","('one', 42)"
"('disaster', 50)","('report', 50)","('area', 49)","('toll', 47)","('support', 47)","('team', 44)","('need', 43)","('ago', 43)","('u', 43)","('life', 41)","('info', 40)","('victim', 40)","('data', 40)","('use', 40)","('world', 39)","('country', 39)","('safety', 39)","('emsc', 38)","('min', 37)","('ml', 37)","('230209', 37)","('dpt', 37)","('purpose', 37)","('powered', 37)","('day', 36)"
"('disaster', 64)","('report', 60)","('area', 48)","('use', 45)","('safety', 41)","('info', 40)","('life', 40)","('purpose', 40)","('ago', 39)","('ml', 39)","('dpt', 39)","('data', 39)","('emsc', 39)","('powered', 39)","('toll', 37)","('one', 36)","('impact', 36)","('team', 36)","('i’m', 35)","('relief', 34)","('syrian', 34)","('hi', 34)","('u', 32)","('bot', 32)","('reply', 32)"
"('report', 98)","('team', 60)","('disaster', 58)","('u', 54)","('info', 54)","('toll', 53)","('day', 51)","('ago', 49)","('data', 48)","('life', 47)","('use', 47)","('safety', 46)","('min', 44)","('ml', 44)","('230210', 44)","('dpt', 44)","('emsc', 44)","('purpose', 44)","('powered', 44)","('area', 43)","('strike', 41)","('relief', 41)","('impact', 37)","('time', 36)","('magnitude', 36)"
